          Energy(t)              Sigma(t)                xbar(t)                  norm(t)            vel(t)
   2.0050002444536497        25.000018213585928        133.33332564952642        1.0000016984570306       -2.0000000978790049     
   2.0050002444457897        25.010417756202877        131.29385186575598        1.0000016984570348       -2.0000000972421264     
   2.0050002444392261        25.040283643029944        129.32016756138063        1.0000016984570175       -2.0000000904109769     
   2.0050002446399962        25.091605797060108        127.28069380301456        1.0000016984569053       -2.0000000195112415     
   2.0050002459509120        25.161062145975212        125.30700976021078        1.0000016984566287       -1.9999994344535044     
   2.0050002573689589        25.249911641468668        123.33332754937726        1.0000016984533895       -1.9999952434547745     
   2.0050003310795090        25.361649432035176        121.29386880812584        1.0000016984563251       -1.9999676137522142     
   2.0050007086515298        25.486961139802730        119.32026930262627        1.0000016984567415       -1.9998250788833465     
   2.0050024573104568        25.625213240016560        117.28123765521336        1.0000016984551507       -1.9991513293135710     
   2.0050087484129890        25.738792650614638        115.30937871320238        1.0000016984565741       -1.9966493684122253     
   2.0050279755262839        25.756955183455517        113.34227254923377        1.0000016984560320       -1.9886173246569034     
   2.0050784653339968        25.507306394298727        111.32438883050192        1.0000016984548734       -1.9654863312589737     
   2.0051808071035335        24.753016732844387        109.40763484638931        1.0000016984559321       -1.9126618367895409     
   2.0053604541983305        23.199474770408884        107.50771041622068        1.0000016984562694       -1.8026033116188187     
   2.0055932576273929        21.009342665474133        105.81280300955333        1.0000016984555824       -1.6192850046962777     
   2.0058364505441983        18.824188963486986        104.34143166015997        1.0000016984558091       -1.3498925450651333     
   2.0060288128169725        18.060499234025361        103.14126199123962        1.0000016984544007      -0.99511777628895270     
   2.0061060010224399        20.637576752969924        102.34575596287799        1.0000016984564140      -0.61658882375100454     
   2.0060499739206246        28.518787005320757        101.91179936879308        1.0000016984564517      -0.24232195654312227     
   2.0058825167877106        42.326592875874766        101.82812333122283        1.0000016984558837        6.0310842864363230E-002
   2.0056516404403291        62.735387251850042        102.00440649130256        1.0000016984522273       0.28339516631361045     
   2.0054136904797089        90.941208120658132        102.37581010062799        1.0000016984568914       0.43266807713676342     
   2.0052309461887754        125.19323667510845        102.84771252675674        1.0000016984559499       0.51554045558918160     
   2.0051081437038798        167.84571252488723        103.39849836680358        1.0000016984563993       0.55944197786103245     
   2.0050458978570886        216.21507865665276        103.96154436888000        1.0000016984566900       0.57912677578230642     
   2.0050241864152145        271.59336350694593        104.53804017516832        1.0000016984561027       0.58820259276587861     
   2.0050279429154529        336.12488912714548        105.14097229313499        1.0000016984564501       0.59430288608548787     
   2.0050471185322913        405.42031689538373        105.73116776654315        1.0000016984567137       0.60272350534078722     
   2.0050826671664161        483.53387430444042        106.35360949865775        1.0000016984568496       0.62016720265789604     
   2.0051397442680861        564.39160402078005        106.97993086034141        1.0000016984564186       0.65237165188570656     
   2.0052228240788326        648.80089520965055        107.64825190259751        1.0000016984562414       0.70632262741516660     
   2.0053261768563031        737.44180545159884        108.40822581374776        1.0000016984555684       0.78911867762044952     
   2.0054197532996070        822.06349903739647        109.23675324867392        1.0000016984542544       0.89398653484622925     
   2.0054816077539224        905.87282380711133        110.21118101533905        1.0000016984556845        1.0195495827291432     
   2.0054904185232956        981.86167526104236        111.27915305674972        1.0000016984552744        1.1449630808265860     
   2.0054483933524030        1052.2855107051300        112.46722874741117        1.0000016984566329        1.2609882070476295     
   2.0053652950504066        1119.7717444033201        113.80565757418324        1.0000016984560476        1.3606553375604244     
   2.0052688382866979        1181.3011241871056        115.18589072490447        1.0000016984566591        1.4331087358487100     
   2.0051741146161777        1242.7473758515787        116.67503196741016        1.0000016984549776        1.4841528737137109     
   2.0051011849119877        1301.7972309542511        118.15597226028548        1.0000016984566991        1.5148092088412930     
   2.0050534410713325        1361.7698281151315        119.66028916603331        1.0000016984553928        1.5322778892821525     
   2.0050303128802640        1425.7141805704471        121.22796380135439        1.0000016984560076        1.5412317488889611     
   2.0050268559278792        1490.1477802204479        122.75069654307144        1.0000016984566071        1.5440797549385352     
   2.0050338144007416        1559.8176769035183        124.32467568283073        1.0000016984568216        1.5421726907075719     
   2.0050446221792502        1630.5920442059753        125.84348260500028        1.0000016984562901        1.5350027170364071     
   2.0050593320204944        1705.0860788018633        127.35186133515671        1.0000016984530580        1.5206635690092769     
   2.0050829006943673        1786.5993425905222        128.89070936860770        1.0000016984146909        1.4956265064507122     
   2.0051159142801067        1870.7174500899698        130.34968030385122        1.0000016980604480        1.4592792203860911     
   2.0051565418239314        1964.1596698415542        131.81284263422378        1.0000016954604733        1.4084398152515203     
   2.0051930801894899        2062.0707679712482        133.17354492691064        1.0000016801792078        1.3479506114767279     
   2.0052176433130957        2168.4291346219543        134.47053083351349        1.0000016002037739        1.2801915893981335     
