 #    i     x              ref(x)   imf(x)    k   th(k)    reF(k)    imF(k)    reF-1(x)   imF-1(x)
    216  -11.562       133.6914       0.000000        33.93      0.1737332E-02  0.2015639E-02 -0.3257494E-16   133.6914      0.9300801E-15
    217  -11.523       132.7896       0.000000        34.09     -0.1721356E-02  0.1999903E-02 -0.2154843E-15   132.7896     -0.1672408E-14
    218  -11.484       131.8909       0.000000        34.24      0.1705600E-02  0.1984388E-02 -0.7196549E-16   131.8909     -0.1511318E-13
    219  -11.445       130.9952       0.000000        34.40     -0.1690060E-02  0.1969089E-02   0.000000       130.9952     -0.2887287E-13
    220  -11.406       130.1025       0.000000        34.56      0.1674730E-02  0.1954003E-02  0.3211792E-16   130.1025      0.1616896E-14
    221  -11.367       129.2130       0.000000        34.71     -0.1659609E-02  0.1939127E-02 -0.6542636E-16   129.2130     -0.1357248E-13
    222  -11.328       128.3264       0.000000        34.87      0.1644691E-02  0.1924456E-02  0.1351042E-15   128.3264      0.1421085E-13
    223  -11.289       127.4429       0.000000        35.03     -0.1629973E-02  0.1909986E-02 -0.1172740E-14   127.4429      0.1719485E-13
    224  -11.250       126.5625       0.000000        35.19      0.1615453E-02  0.1895714E-02   0.000000       126.5625     -0.1280239E-13
    225  -11.211       125.6851       0.000000        35.34     -0.1601125E-02  0.1881638E-02  0.1063835E-14   125.6851     -0.1245872E-13
    226  -11.172       124.8108       0.000000        35.50      0.1586987E-02  0.1867752E-02 -0.1726094E-15   124.8108      0.1055039E-13
    227  -11.133       123.9395       0.000000        35.66     -0.1573036E-02  0.1854054E-02  0.1092960E-15   123.9395     -0.1888413E-13
    228  -11.094       123.0713       0.000000        35.81      0.1559267E-02  0.1840541E-02 -0.1219748E-15   123.0713      0.1105543E-13
    229  -11.055       122.2061       0.000000        35.97     -0.1545679E-02  0.1827210E-02  0.1262861E-15   122.2061      0.1535917E-13
    230  -11.016       121.3440       0.000000        36.13      0.1532267E-02  0.1814057E-02  0.2520456E-16   121.3440     -0.1444487E-13
    231  -10.977       120.4849       0.000000        36.29     -0.1519030E-02  0.1801079E-02  0.2963643E-15   120.4849     -0.1335207E-13
    232  -10.938       119.6289       0.000000        36.44      0.1505963E-02  0.1788273E-02 -0.1945181E-17   119.6289      0.2819966E-13
    233  -10.898       118.7759       0.000000        36.60     -0.1493064E-02  0.1775637E-02 -0.2390442E-16   118.7759      0.2941057E-13
    234  -10.859       117.9260       0.000000        36.76      0.1480330E-02  0.1763167E-02  0.9383136E-16   117.9260      0.2368585E-13
    235  -10.820       117.0792       0.000000        36.91     -0.1467758E-02  0.1750861E-02  0.4915694E-16   117.0792     -0.3693396E-13
    236  -10.781       116.2354       0.000000        37.07      0.1455346E-02  0.1738716E-02  0.5725026E-17   116.2354      0.1558312E-13
    237  -10.742       115.3946       0.000000        37.23     -0.1443090E-02  0.1726730E-02 -0.9107298E-17   115.3946     -0.1461508E-13
    238  -10.703       114.5569       0.000000        37.38      0.1430989E-02  0.1714899E-02 -0.4366781E-16   114.5569      0.1833770E-14
    239  -10.664       113.7222       0.000000        37.54     -0.1419039E-02  0.1703221E-02 -0.3210905E-15   113.7222     -0.9927056E-14
    240  -10.625       112.8906       0.000000        37.70      0.1407239E-02  0.1691694E-02 -0.7185460E-18   112.8906     -0.4196643E-13
    241  -10.586       112.0621       0.000000        37.86     -0.1395585E-02  0.1680315E-02  0.2387184E-15   112.0621      0.4379410E-14
    242  -10.547       111.2366       0.000000        38.01      0.1384075E-02  0.1669082E-02 -0.1398793E-17   111.2366      0.1390554E-13
    243  -10.508       110.4141       0.000000        38.17     -0.1372707E-02  0.1657992E-02 -0.2199612E-15   110.4141     -0.1303818E-13
    244  -10.469       109.5947       0.000000        38.33      0.1361478E-02  0.1647043E-02 -0.9677028E-17   109.5947      0.3427133E-13
    245  -10.430       108.7784       0.000000        38.48     -0.1350386E-02  0.1636233E-02 -0.2177800E-15   108.7784      0.3320328E-14
    246  -10.391       107.9651       0.000000        38.64      0.1339430E-02  0.1625559E-02 -0.1268814E-15   107.9651      0.4143037E-13
    247  -10.352       107.1548       0.000000        38.80     -0.1328606E-02  0.1615020E-02  0.1004440E-15   107.1548      0.3149387E-13
    248  -10.312       106.3477       0.000000        38.96      0.1317913E-02  0.1604614E-02  0.6938894E-17   106.3477      0.2798796E-13
    249  -10.273       105.5435       0.000000        39.11     -0.1307349E-02  0.1594337E-02  0.9893030E-16   105.5435     -0.2885546E-13
    250  -10.234       104.7424       0.000000        39.27      0.1296911E-02  0.1584188E-02 -0.2098505E-15   104.7424      0.1346853E-13
    251  -10.195       103.9444       0.000000        39.43     -0.1286598E-02  0.1574166E-02  0.2519770E-15   103.9444     -0.4192126E-13
    252  -10.156       103.1494       0.000000        39.58      0.1276407E-02  0.1564268E-02  0.1088395E-17   103.1494      0.1706804E-13
    253  -10.117       102.3575       0.000000        39.74     -0.1266337E-02  0.1554492E-02  0.1661249E-15   102.3575      0.1874535E-13
    254  -10.078       101.5686       0.000000        39.90      0.1256385E-02  0.1544836E-02  0.2125204E-15   101.5686      0.3272409E-13
    255  -10.039       100.7828       0.000000        40.06     -0.1246551E-02  0.1535299E-02  0.2394589E-15   100.7828      0.3131863E-13
    256  -10.000       100.0000       0.000000        40.21      0.1236831E-02  0.1525879E-02   0.000000       100.0000     -0.1421085E-13
    257  -9.9609       99.22028       0.000000        40.37     -0.1227224E-02  0.1516573E-02 -0.3504141E-14   99.22028     -0.2359224E-15
    258  -9.9219       98.44360       0.000000        40.53      0.1217730E-02  0.1507381E-02 -0.1006140E-15   98.44360      0.1482148E-13
    259  -9.8828       97.66998       0.000000        40.68     -0.1208344E-02  0.1498300E-02 -0.1942890E-15   97.66998     -0.1657008E-13
    260  -9.8438       96.89941       0.000000        40.84      0.1199067E-02  0.1489329E-02  0.1040834E-16   96.89941      0.4271583E-13
    261  -9.8047       96.13190       0.000000        41.00     -0.1189897E-02  0.1480466E-02 -0.1674008E-15   96.13190     -0.1132427E-13
    262  -9.7656       95.36743       0.000000        41.15      0.1180831E-02  0.1471709E-02 -0.1535230E-15   95.36743     -0.1240674E-13
    263  -9.7266       94.60602       0.000000        41.31     -0.1171868E-02  0.1463058E-02 -0.9497611E-16   94.60602     -0.2944867E-13
    264  -9.6875       93.84766       0.000000        41.47      0.1163007E-02  0.1454510E-02  0.1734723E-17   93.84766      0.2814415E-13
    265  -9.6484       93.09235       0.000000        41.63     -0.1154246E-02  0.1446063E-02 -0.2038300E-15   93.09235     -0.2081668E-14
    266  -9.6094       92.34009       0.000000        41.78      0.1145584E-02  0.1437717E-02  0.6288373E-16   92.34009      0.2919887E-13
    267  -9.5703       91.59088       0.000000        41.94     -0.1137019E-02  0.1429470E-02 -0.6375109E-16   91.59088     -0.3336220E-13
    268  -9.5312       90.84473       0.000000        42.10      0.1128550E-02  0.1421320E-02 -0.1973248E-16   90.84473      0.1511291E-13
    269  -9.4922       90.10162       0.000000        42.25     -0.1120174E-02  0.1413266E-02 -0.6722053E-16   90.10162     -0.2666617E-13
    270  -9.4531       89.36157       0.000000        42.41      0.1111892E-02  0.1405307E-02  0.7708677E-16   89.36157      0.1672273E-13
    271  -9.4141       88.62457       0.000000        42.57     -0.1103702E-02  0.1397442E-02 -0.8928676E-15   88.62457     -0.1477377E-13
    272  -9.3750       87.89062       0.000000        42.73      0.1095601E-02  0.1389668E-02 -0.3035766E-16   87.89062     -0.8881784E-15
    273  -9.3359       87.15973       0.000000        42.88     -0.1087589E-02  0.1381984E-02 -0.4129184E-15   87.15973     -0.1994065E-14
    274  -9.2969       86.43188       0.000000        43.04      0.1079665E-02  0.1374391E-02  0.3599551E-16   86.43188      0.4260481E-13
    275  -9.2578       85.70709       0.000000        43.20     -0.1071827E-02  0.1366885E-02  0.3729655E-16   85.70709     -0.1405126E-13
    276  -9.2188       84.98535       0.000000        43.35      0.1064075E-02  0.1359466E-02 -0.3903128E-17   84.98535      0.2327305E-13
    277  -9.1797       84.26666       0.000000        43.51     -0.1056406E-02  0.1352132E-02  0.1144917E-15   84.26666     -0.1046385E-13
    278  -9.1406       83.55103       0.000000        43.67      0.1048819E-02  0.1344884E-02  0.1249001E-15   83.55103      0.3408385E-13
    279  -9.1016       82.83844       0.000000        43.83     -0.1041314E-02  0.1337718E-02  0.2081668E-15   82.83844      0.2819966E-13
    280  -9.0625       82.12891       0.000000        43.98      0.1033890E-02  0.1330634E-02  0.3469447E-17   82.12891      0.2414735E-14
    281  -9.0234       81.42242       0.000000        44.14     -0.1026544E-02  0.1323632E-02 -0.2289835E-15   81.42242     -0.1640355E-13
    282  -8.9844       80.71899       0.000000        44.30      0.1019277E-02  0.1316709E-02  0.9714451E-16   80.71899     -0.1498801E-14
    283  -8.9453       80.01862       0.000000        44.45     -0.1012086E-02  0.1309865E-02  0.8673617E-16   80.01862     -0.4271583E-13
    284  -8.9062       79.32129       0.000000        44.61      0.1004971E-02  0.1303099E-02 -0.6591949E-16   79.32129      0.1856848E-13
    285  -8.8672       78.62701       0.000000        44.77     -0.9979310E-03  0.1296409E-02  0.3469447E-16   78.62701      0.6411538E-14
    286  -8.8281       77.93579       0.000000        44.92      0.9909647E-03  0.1289795E-02 -0.1249001E-15   77.93579      0.1998401E-13
    287  -8.7891       77.24762       0.000000        45.08     -0.9840710E-03  0.1283256E-02 -0.4996004E-15   77.24762      0.2844947E-13
    288  -8.7500       76.56250       0.000000        45.24      0.9772491E-03  0.1276790E-02   0.000000       76.56250     -0.1561932E-13
    289  -8.7109       75.88043       0.000000        45.40     -0.9704978E-03  0.1270396E-02 -0.2755055E-15   75.88043      0.9301654E-14
    290  -8.6719       75.20142       0.000000        45.55      0.9638163E-03  0.1264075E-02  0.1777880E-15   75.20142      0.1661525E-13
    291  -8.6328       74.52545       0.000000        45.71     -0.9572035E-03  0.1257824E-02 -0.4032394E-16   74.52545     -0.1481114E-13
    292  -8.5938       73.85254       0.000000        45.87      0.9506585E-03  0.1251642E-02 -0.6927842E-16   73.85254      0.5885543E-13
    293  -8.5547       73.18268       0.000000        46.02     -0.9441804E-03  0.1245530E-02 -0.8134070E-16   73.18268      0.1750343E-13
    294  -8.5156       72.51587       0.000000        46.18      0.9377684E-03  0.1239486E-02 -0.3583393E-16   72.51587     -0.1486665E-13
    295  -8.4766       71.85211       0.000000        46.34     -0.9314214E-03  0.1233508E-02 -0.7705952E-16   71.85211     -0.4770857E-13
    296  -8.4375       71.19141       0.000000        46.50      0.9251386E-03  0.1227597E-02 -0.4275167E-17   71.19141      0.2509104E-13
    297  -8.3984       70.53375       0.000000        46.65     -0.9189192E-03  0.1221751E-02  0.4406930E-16   70.53375      0.2815449E-13
    298  -8.3594       69.87915       0.000000        46.81      0.9127623E-03  0.1215970E-02 -0.3271756E-17   69.87915      0.3115917E-13
    299  -8.3203       69.22760       0.000000        46.97     -0.9066671E-03  0.1210252E-02 -0.9145560E-16   69.22760     -0.3139863E-13
    300  -8.2812       68.57910       0.000000        47.12      0.9006327E-03  0.1204597E-02 -0.1301043E-16   68.57910      0.1386718E-13
    301  -8.2422       67.93365       0.000000        47.28     -0.8946584E-03  0.1199005E-02 -0.2241116E-16   67.93365     -0.2610752E-13
    302  -8.2031       67.29126       0.000000        47.44      0.8887433E-03  0.1193473E-02 -0.2694138E-16   67.29126      0.2001938E-14
    303  -8.1641       66.65192       0.000000        47.60     -0.8828867E-03  0.1188002E-02 -0.2409226E-15   66.65192     -0.4376981E-13
    304  -8.1250       66.01562       0.000000        47.75      0.8770878E-03  0.1182591E-02 -0.1164993E-17   66.01562     -0.4596323E-13
    305  -8.0859       65.38239       0.000000        47.91     -0.8713458E-03  0.1177239E-02 -0.2082992E-15   65.38239     -0.6072467E-14
    306  -8.0469       64.75220       0.000000        48.07      0.8656601E-03  0.1171945E-02  0.6749263E-16   64.75220      0.1612599E-13
    307  -8.0078       64.12506       0.000000        48.22     -0.8600298E-03  0.1166708E-02  0.5009014E-16   64.12506     -0.1666709E-13
    308  -7.9688       63.50098       0.000000        48.38      0.8544542E-03  0.1161529E-02  0.8592826E-17   63.50098      0.9554723E-14
    309  -7.9297       62.87994       0.000000        48.54     -0.8489327E-03  0.1156405E-02  0.1061668E-15   62.87994     -0.5821598E-14
    310  -7.8906       62.26196       0.000000        48.69      0.8434646E-03  0.1151337E-02  0.1176891E-15   62.26196      0.3770949E-13
    311  -7.8516       61.64703       0.000000        48.85     -0.8380491E-03  0.1146324E-02  0.2021589E-15   61.64703     -0.3386180E-14
    312  -7.8125       61.03516       0.000000        49.01      0.8326856E-03  0.1141365E-02 -0.7155734E-17   61.03516      0.3016704E-13
    313  -7.7734       60.42633       0.000000        49.17     -0.8273734E-03  0.1136459E-02  0.6907416E-16   60.42633     -0.5646518E-13
    314  -7.7344       59.82056       0.000000        49.32      0.8221119E-03  0.1131606E-02  0.9692767E-16   59.82056     -0.1713226E-13
    315  -7.6953       59.21783       0.000000        49.48     -0.8169004E-03  0.1126805E-02 -0.1240327E-15   59.21783     -0.4558173E-13
    316  -7.6562       58.61816       0.000000        49.64      0.8117384E-03  0.1122056E-02 -0.2450716E-16   58.61816      0.1653525E-13
    317  -7.6172       58.02155       0.000000        49.79     -0.8066251E-03  0.1117358E-02 -0.1246832E-15   58.02155      0.8368038E-14
    318  -7.5781       57.42798       0.000000        49.95      0.8015599E-03  0.1112710E-02  0.9495934E-16   57.42798      0.3538836E-14
    319  -7.5391       56.83746       0.000000        50.11     -0.7965424E-03  0.1108112E-02  0.4909267E-15   56.83746      0.2839395E-13
    320  -7.5000       56.25000       0.000000        50.27      0.7915717E-03  0.1103563E-02   0.000000       56.25000     -0.1745879E-13
    321  -7.4609       55.66559       0.000000        50.42     -0.7866475E-03  0.1099063E-02  0.1629531E-15   55.66559     -0.5038174E-14
    322  -7.4219       55.08423       0.000000        50.58      0.7817691E-03  0.1094611E-02  0.2130223E-15   55.08423      0.1847160E-13
    323  -7.3828       54.50592       0.000000        50.74     -0.7769359E-03  0.1090206E-02 -0.2460929E-16   54.50592      0.1762747E-14
    324  -7.3438       53.93066       0.000000        50.89      0.7721474E-03  0.1085848E-02 -0.6168043E-16   53.93066      0.4596377E-13
    325  -7.3047       53.35846       0.000000        51.05     -0.7674030E-03  0.1081537E-02 -0.2829229E-16   53.35846     -0.2256475E-13
    326  -7.2656       52.78931       0.000000        51.21      0.7627023E-03  0.1077271E-02 -0.1035317E-15   52.78931     -0.1824956E-13
    327  -7.2266       52.22321       0.000000        51.37     -0.7580446E-03  0.1073051E-02  0.5237582E-16   52.22321     -0.3307104E-13
    328  -7.1875       51.66016       0.000000        51.52      0.7534294E-03  0.1068876E-02 -0.1338247E-16   51.66016      0.4006491E-13
    329  -7.1484       51.10016       0.000000        51.68     -0.7488562E-03  0.1064745E-02 -0.4917153E-16   51.10016      0.1651725E-14
    330  -7.1094       50.54321       0.000000        51.84      0.7443246E-03  0.1060657E-02 -0.4352967E-16   50.54321      0.3204408E-13
    331  -7.0703       49.98932       0.000000        51.99     -0.7398339E-03  0.1056613E-02  0.6030717E-16   49.98932     -0.2685325E-13
    332  -7.0312       49.43848       0.000000        52.15      0.7353838E-03  0.1052612E-02  0.2614852E-17   49.43848      0.1267042E-13
    333  -6.9922       48.89069       0.000000        52.31     -0.7309737E-03  0.1048654E-02  0.9529180E-16   48.89069     -0.3925305E-13
    334  -6.9531       48.34595       0.000000        52.46      0.7266032E-03  0.1044737E-02 -0.3663317E-16   48.34595      0.4203582E-13
    335  -6.9141       47.80426       0.000000        52.62     -0.7222717E-03  0.1040862E-02  0.1193018E-15   47.80426     -0.1913193E-13
    336  -6.8750       47.26562       0.000000        52.78      0.7179789E-03  0.1037028E-02  0.1196343E-16   47.26562      0.9186559E-14
    337  -6.8359       46.73004       0.000000        52.94     -0.7137242E-03  0.1033234E-02  0.5657525E-16   46.73004     -0.8420285E-14
    338  -6.7969       46.19751       0.000000        53.09      0.7095073E-03  0.1029480E-02 -0.4822885E-16   46.19751      0.4031471E-13
    339  -6.7578       45.66803       0.000000        53.25     -0.7053275E-03  0.1025766E-02  0.2443494E-16   45.66803     -0.1567523E-13
    340  -6.7188       45.14160       0.000000        53.41      0.7011847E-03  0.1022092E-02 -0.1391390E-16   45.14160      0.8230602E-14
    341  -6.6797       44.61823       0.000000        53.56     -0.6970782E-03  0.1018456E-02 -0.1211947E-15   44.61823     -0.9436359E-14
    342  -6.6406       44.09790       0.000000        53.72      0.6930077E-03  0.1014859E-02  0.3929061E-16   44.09790      0.2459251E-13
    343  -6.6016       43.58063       0.000000        53.88     -0.6889727E-03  0.1011299E-02  0.8950097E-17   43.58063      0.2819966E-13
    344  -6.5625       43.06641       0.000000        54.04      0.6849728E-03  0.1007778E-02 -0.1307207E-16   43.06641      0.4482794E-14
    345  -6.5234       42.55524       0.000000        54.19     -0.6810077E-03  0.1004293E-02 -0.6719062E-16   42.55524     -0.2957383E-13
    346  -6.4844       42.04712       0.000000        54.35      0.6770770E-03  0.1000846E-02 -0.1079099E-15   42.04712      0.1226796E-13
    347  -6.4453       41.54205       0.000000        54.51     -0.6731801E-03  0.9974345E-03  0.1381826E-15   41.54205     -0.3190530E-13
    348  -6.4062       41.04004       0.000000        54.66      0.6693168E-03  0.9940595E-03  0.2545112E-16   41.04004      0.3454262E-13
    349  -6.3672       40.54108       0.000000        54.82     -0.6654867E-03  0.9907201E-03  0.2932872E-16   40.54108      0.2192851E-13
    350  -6.3281       40.04517       0.000000        54.98      0.6616894E-03  0.9874162E-03 -0.1975458E-15   40.04517      0.1923515E-13
    351  -6.2891       39.55231       0.000000        55.13     -0.6579244E-03  0.9841472E-03 -0.1940339E-14   39.55231      0.1927598E-13
    352  -6.2500       39.06250       0.000000        55.29      0.6541915E-03  0.9809129E-03   0.000000       39.06250     -0.2006021E-13
    353  -6.2109       38.57574       0.000000        55.45     -0.6504903E-03  0.9777129E-03 -0.6470679E-15   38.57574     -0.2526111E-13
    354  -6.1719       38.09204       0.000000        55.61      0.6468204E-03  0.9745468E-03 -0.3040059E-15   38.09204      0.1964768E-13
    355  -6.1328       37.61139       0.000000        55.76     -0.6431815E-03  0.9714143E-03 -0.3285216E-15   37.61139     -0.6002814E-15
    356  -6.0938       37.13379       0.000000        55.92      0.6395732E-03  0.9683151E-03  0.1009413E-15   37.13379      0.2819096E-13
    357  -6.0547       36.65924       0.000000        56.08     -0.6359952E-03  0.9652489E-03 -0.1605469E-15   36.65924      0.1128618E-13
    358  -6.0156       36.18774       0.000000        56.23      0.6324471E-03  0.9622153E-03  0.5958005E-16   36.18774     -0.1580870E-13
    359  -5.9766       35.71930       0.000000        56.39     -0.6289286E-03  0.9592140E-03 -0.1974851E-15   35.71930     -0.2234160E-13
    360  -5.9375       35.25391       0.000000        56.55      0.6254394E-03  0.9562446E-03 -0.1041472E-16   35.25391      0.1398881E-13
    361  -5.8984       34.79156       0.000000        56.71     -0.6219792E-03  0.9533070E-03  0.3604748E-16   34.79156      0.3081903E-13
    362  -5.8594       34.33228       0.000000        56.86      0.6185476E-03  0.9504008E-03 -0.3094764E-16   34.33228      0.4270549E-13
    363  -5.8203       33.87604       0.000000        57.02     -0.6151443E-03  0.9475256E-03  0.3528652E-15   33.87604     -0.2512750E-13
    364  -5.7812       33.42285       0.000000        57.18      0.6117690E-03  0.9446812E-03  0.7068560E-17   33.42285      0.6593583E-14
    365  -5.7422       32.97272       0.000000        57.33     -0.6084214E-03  0.9418673E-03  0.2305014E-15   32.97272     -0.3175061E-13
    366  -5.7031       32.52563       0.000000        57.49      0.6051013E-03  0.9390836E-03  0.5602772E-16   32.52563      0.2000987E-13
    367  -5.6641       32.08160       0.000000        57.65     -0.6018082E-03  0.9363298E-03 -0.1745525E-15   32.08160      0.7944267E-14
    368  -5.6250       31.64062       0.000000        57.81      0.5985420E-03  0.9336057E-03  0.1589738E-16   31.64062     -0.1088019E-13
    369  -5.5859       31.20270       0.000000        57.96     -0.5953022E-03  0.9309110E-03 -0.3294661E-15   31.20270     -0.1171556E-13
    370  -5.5469       30.76782       0.000000        58.12      0.5920887E-03  0.9282453E-03  0.9421889E-17   30.76782      0.6800116E-14
    371  -5.5078       30.33600       0.000000        58.28     -0.5889012E-03  0.9256085E-03 -0.2048292E-15   30.33600      0.3837208E-14
    372  -5.4688       29.90723       0.000000        58.43      0.5857393E-03  0.9230002E-03  0.1553172E-16   29.90723      0.4152915E-13
    373  -5.4297       29.48151       0.000000        58.59     -0.5826028E-03  0.9204203E-03 -0.2885424E-15   29.48151     -0.1481114E-13
    374  -5.3906       29.05884       0.000000        58.75      0.5794915E-03  0.9178684E-03 -0.2425640E-16   29.05884      0.2518301E-13
    375  -5.3516       28.63922       0.000000        58.90     -0.5764050E-03  0.9153443E-03  0.3471147E-15   28.63922      0.3922734E-13
    376  -5.3125       28.22266       0.000000        59.06      0.5733430E-03  0.9128478E-03 -0.8890458E-17   28.22266      0.2213861E-13
    377  -5.2734       27.80914       0.000000        59.22     -0.5703055E-03  0.9103786E-03  0.3998027E-15   27.80914     -0.2049396E-13
    378  -5.2344       27.39868       0.000000        59.38      0.5672920E-03  0.9079365E-03  0.3201541E-17   27.39868      0.5627309E-14
    379  -5.1953       26.99127       0.000000        59.53     -0.5643023E-03  0.9055212E-03 -0.1348831E-15   26.99127     -0.2896648E-13
    380  -5.1562       26.58691       0.000000        59.69      0.5613362E-03  0.9031325E-03 -0.4662489E-16   26.58691      0.9854863E-14
    381  -5.1172       26.18561       0.000000        59.85     -0.5583934E-03  0.9007701E-03 -0.2895071E-15   26.18561      0.4664678E-13
    382  -5.0781       25.78735       0.000000        60.00      0.5554737E-03  0.8984340E-03 -0.1322894E-15   25.78735      0.1881801E-13
    383  -5.0391       25.39215       0.000000        60.16     -0.5525769E-03  0.8961237E-03 -0.2718812E-14   25.39215      0.1836385E-13
    384  -5.0000       25.00000       0.000000        60.32      0.5497026E-03  0.8938392E-03   0.000000       25.00000     -0.1715402E-13
    385  -4.9609       24.61090       0.000000        60.48     -0.5468507E-03  0.8915801E-03  0.1371065E-14   24.61090     -0.7341350E-14
    386  -4.9219       24.22485       0.000000        60.63      0.5440210E-03  0.8893463E-03  0.3371440E-16   24.22485      0.1371233E-13
    387  -4.8828       23.84186       0.000000        60.79     -0.5412131E-03  0.8871376E-03  0.3800881E-15   23.84186      0.1690422E-13
    388  -4.8438       23.46191       0.000000        60.95      0.5384270E-03  0.8849537E-03  0.7616561E-16   23.46191      0.3822265E-13
    389  -4.8047       23.08502       0.000000        61.10     -0.5356622E-03  0.8827945E-03  0.3363561E-15   23.08502     -0.6162811E-14
    390  -4.7656       22.71118       0.000000        61.26      0.5329188E-03  0.8806598E-03  0.1162115E-15   22.71118     -0.1379559E-13
    391  -4.7266       22.34039       0.000000        61.42     -0.5301963E-03  0.8785493E-03 -0.5087078E-16   22.34039     -0.2290050E-13
    392  -4.6875       21.97266       0.000000        61.58      0.5274947E-03  0.8764628E-03 -0.2039577E-16   21.97266      0.1671100E-13
    393  -4.6484       21.60797       0.000000        61.73     -0.5248137E-03  0.8744002E-03  0.5776905E-16   21.60797      0.3913536E-14
    394  -4.6094       21.24634       0.000000        61.89      0.5221530E-03  0.8723613E-03  0.8638451E-16   21.24634      0.3358747E-13
    395  -4.5703       20.88776       0.000000        62.05     -0.5195126E-03  0.8703459E-03 -0.3205739E-15   20.88776     -0.1260318E-13
    396  -4.5312       20.53223       0.000000        62.20      0.5168921E-03  0.8683538E-03 -0.1067967E-16   20.53223      0.1050656E-13
    397  -4.4922       20.17975       0.000000        62.36     -0.5142914E-03  0.8663848E-03 -0.3659345E-15   20.17975     -0.3163817E-13
    398  -4.4531       19.83032       0.000000        62.52      0.5117102E-03  0.8644387E-03  0.7650738E-16   19.83032      0.2363656E-13
    399  -4.4141       19.48395       0.000000        62.67     -0.5091485E-03  0.8625154E-03  0.1451604E-15   19.48395     -0.2140897E-13
    400  -4.3750       19.14062       0.000000        62.83      0.5066059E-03  0.8606147E-03  0.1025205E-17   19.14062     -0.7105427E-14
    401  -4.3359       18.80035       0.000000        62.99     -0.5040824E-03  0.8587365E-03 -0.9376798E-16   18.80035     -0.1590014E-13
    402  -4.2969       18.46313       0.000000        63.15      0.5015776E-03  0.8568804E-03  0.1897144E-16   18.46313      0.2509372E-13
    403  -4.2578       18.12897       0.000000        63.30     -0.4990915E-03  0.8550465E-03  0.1453155E-15   18.12897     -0.1451801E-15
    404  -4.2188       17.79785       0.000000        63.46      0.4966238E-03  0.8532345E-03  0.3745285E-17   17.79785      0.2693893E-13
    405  -4.1797       17.46979       0.000000        63.62     -0.4941743E-03  0.8514443E-03  0.1093087E-15   17.46979     -0.1221406E-13
    406  -4.1406       17.14478       0.000000        63.77      0.4917430E-03  0.8496757E-03 -0.1074208E-16   17.14478      0.2103980E-13
    407  -4.1016       16.82281       0.000000        63.93     -0.4893295E-03  0.8479285E-03  0.1431196E-15   16.82281      0.2725920E-13
    408  -4.0625       16.50391       0.000000        64.09      0.4869338E-03  0.8462026E-03  0.1633106E-16   16.50391     -0.6162274E-14
    409  -4.0234       16.18805       0.000000        64.25     -0.4845556E-03  0.8444979E-03  0.3049688E-15   16.18805     -0.1046493E-13
    410  -3.9844       15.87524       0.000000        64.40      0.4821948E-03  0.8428141E-03 -0.3003450E-16   15.87524      0.2775558E-15
    411  -3.9453       15.56549       0.000000        64.56     -0.4798512E-03  0.8411512E-03 -0.3273433E-16   15.56549     -0.3022904E-13
    412  -3.9062       15.25879       0.000000        64.72      0.4775247E-03  0.8395091E-03  0.9062654E-16   15.25879      0.9381921E-14
    413  -3.8672       14.95514       0.000000        64.87     -0.4752150E-03  0.8378874E-03 -0.1906576E-15   14.95514      0.2681350E-13
    414  -3.8281       14.65454       0.000000        65.03      0.4729220E-03  0.8362862E-03 -0.3218590E-15   14.65454      0.1138086E-13
    415  -3.7891       14.35699       0.000000        65.19     -0.4706456E-03  0.8347053E-03  0.2153100E-15   14.35699      0.1154793E-13
    416  -3.7500       14.06250       0.000000        65.35      0.4683856E-03  0.8331445E-03   0.000000       14.06250     -0.1546693E-13
    417  -3.7109       13.77106       0.000000        65.50     -0.4661419E-03  0.8316038E-03  0.5682192E-16   13.77106     -0.8362038E-15
    418  -3.6719       13.48267       0.000000        65.66      0.4639142E-03  0.8300829E-03 -0.3649213E-15   13.48267      0.2924677E-14
    419  -3.6328       13.19733       0.000000        65.82     -0.4617025E-03  0.8285818E-03 -0.8728666E-16   13.19733      0.1486665E-13
    420  -3.5938       12.91504       0.000000        65.97      0.4595065E-03  0.8271003E-03  0.3545131E-16   12.91504      0.3456984E-13
    421  -3.5547       12.63580       0.000000        66.13     -0.4573262E-03  0.8256383E-03  0.7526916E-16   12.63580      0.2924677E-14
    422  -3.5156       12.35962       0.000000        66.29      0.4551613E-03  0.8241957E-03  0.3420763E-16   12.35962     -0.1005786E-13
    423  -3.4766       12.08649       0.000000        66.44     -0.4530118E-03  0.8227723E-03 -0.7771834E-15   12.08649     -0.3328220E-13
    424  -3.4375       11.81641       0.000000        66.60      0.4508775E-03  0.8213680E-03 -0.1914360E-16   11.81641      0.1443290E-13
    425  -3.3984       11.54938       0.000000        66.76     -0.4487582E-03  0.8199828E-03 -0.4671250E-15   11.54938      0.1875243E-13
    426  -3.3594       11.28540       0.000000        66.92      0.4466538E-03  0.8186165E-03 -0.2220699E-16   11.28540      0.2102131E-13
    427  -3.3203       11.02448       0.000000        67.07     -0.4445642E-03  0.8172689E-03 -0.2405271E-15   11.02448     -0.5793842E-14
    428  -3.2812       10.76660       0.000000        67.23      0.4424892E-03  0.8159401E-03  0.9757820E-18   10.76660      0.1648189E-14
    429  -3.2422       10.51178       0.000000        67.39     -0.4404287E-03  0.8146298E-03 -0.3753826E-15   10.51178     -0.3269267E-13
