 #    i     x              ref(x)   imf(x)    k   th(k)    reF(k)    imF(k)    reF-1(x)   imF-1(x)
     51  -18.008       324.2813       0.000000        8.011     -0.3116376E-01  0.3141933E-01  0.4466913E-16   324.2813     -0.1666709E-13
     52  -17.969       322.8760       0.000000        8.168      0.2997668E-01  0.3023229E-01  0.3331264E-16   322.8760     -0.2952513E-13
     53  -17.930       321.4737       0.000000        8.325     -0.2885616E-01  0.2911182E-01 -0.1764906E-16   321.4737      0.1283830E-14
     54  -17.891       320.0745       0.000000        8.482      0.2779731E-01  0.2805302E-01 -0.4147178E-16   320.0745      0.5735063E-14
     55  -17.852       318.6783       0.000000        8.639     -0.2679568E-01  0.2705145E-01 -0.5544751E-16   318.6783     -0.6938894E-14
     56  -17.812       317.2852       0.000000        8.796      0.2584724E-01  0.2610306E-01  0.2309351E-16   317.2852      0.1240347E-13
     57  -17.773       315.8951       0.000000        8.954     -0.2494828E-01  0.2520415E-01 -0.5810275E-16   315.8951     -0.1027990E-13
     58  -17.734       314.5081       0.000000        9.111      0.2409541E-01  0.2435134E-01 -0.3035766E-16   314.5081      0.4184019E-14
     59  -17.695       313.1241       0.000000        9.268     -0.2328553E-01  0.2354152E-01  0.6591949E-16   313.1241     -0.1005459E-13
     60  -17.656       311.7432       0.000000        9.425      0.2251582E-01  0.2277186E-01 -0.3198816E-16   311.7432      0.5877109E-14
     61  -17.617       310.3653       0.000000        9.582     -0.2178365E-01  0.2203975E-01  0.3371869E-16   310.3653     -0.4136995E-13
     62  -17.578       308.9905       0.000000        9.739      0.2108661E-01  0.2134278E-01 -0.2130625E-15   308.9905     -0.1387779E-16
     63  -17.539       307.6187       0.000000        9.896     -0.2042251E-01  0.2067874E-01  0.1521027E-14   307.6187      0.1418310E-13
     64  -17.500       306.2500       0.000000        10.05      0.1978929E-01  0.2004558E-01   0.000000       306.2500     -0.3857488E-14
     65  -17.461       304.8843       0.000000        10.21     -0.1918508E-01  0.1944142E-01 -0.3990923E-15   304.8843      0.1211585E-13
